House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Gryffindor,Opinion matters when alive,Ornate temptation box,Praised,Merpeople,Agree and walk away (bluffing),Stars,Right
Gryffindor,Opinion matters when alive,Ornate temptation box,Praised,Merpeople,Agree and walk away (bluffing),Stars,Right
Slytherin,Opinion matters when alive,Pewter box for worthy,Being Ignored,Change appearance,"Cobbled street, ancient buildings",River,Heads
Slytherin,Opinion matters when alive,Pewter box for worthy,Book>Cure>Records,Read minds,Withdraw and review spells,River,Left
Gryffindor,Opinion matters when alive,Pewter box for worthy,Praised,Werewolves,"Draw wand, find source",Moon,Black
Slytherin,Opinion matters when alive,Piano,Being Ignored,Merpeople,"Proceed with caution, concealed wand",Forest,Right
Slytherin,Opinion matters when alive,Piano,Book>Cure>Records,Hexes and Jinxes,"Up high, no handholds",Dusk,Left
Ravenclaw,Opinion matters when alive,Piano,Book>Cure>Records,Read Minds,Withdraw and review spells,Stars,Tails
Gryffindor,Opinion matters when alive,Piano,Cure>Book>Records,Invisibility,Twisting leafy woodsy path,Moon,Black
Gryffindor,Opinion matters when alive,Piano,Loneliness,Werewolves,Eye at keyhole of dark,Dusk,Right
Hufflepuff,Opinion matters when alive,Piano,Records>Cure>Book,Magical Creatures,Confuse troll,Forest,Black
Slytherin,Opinion matters when alive,Piano,Trusted,Centaurs,Confuse troll,River,Right
Gryffindor,Opinion matters when alive,Plums and chocolate,Praised,Invisibility,Tell person to tell truth or you will,Forest,Tails
Slytherin,Opinion matters when alive,Plums and chocolate,Praised,Werewolves,Tell person to tell truth or you will,Dusk,Tails
Gryffindor,Opinion matters when alive,Sea,Cure>Book>Records,Ghosts,Tell person to tell truth or you will,Stars,White
Slytherin,Opinion matters when alive,Sea,Cure>Book>Records,Superstrength,"Tell Flitwick, you'll get points",River,Left
Gryffindor,Opinion matters when alive,"Silver tree, golden apples",Cure>Book>Records,Broom Flying,Twisting leafy woodsy path,Forest,White
Slytherin,Opinion matters when alive,Silvery glittery potion,Book>Records>Cure,Every area of magic,Withdraw and review spells,River,Left
Slytherin,Opinion matters when alive,Silvery glittery potion,Book>Records>Cure,Read Minds,Suggest all 3 fight (without informing troll),River,White
Slytherin,Opinion matters when alive,Silvery glittery potion,Book>Records>Cure,Werewolves,Agree and walk away (bluffing),Stars,Tails
Slytherin,Opinion matters when alive,Silvery glittery potion,Hunger,Hexes and Jinxes,Suggest all 3 fight (without informing troll),Moon,Black
Ravenclaw,Opinion matters when alive,Statue,Book>Cure>Records,Centaurs,"Proceed with caution, concealed wand",Dawn,Heads
Ravenclaw,Opinion matters when alive,Statue,Hunger,Talk to animals,"Tell Flitwick, you'll get points",Forest,Tails
Slytherin,Opinion matters when alive,Statue,Imitated,Vampires,Offer them a sample of a jinx,Dusk,Left
Gryffindor,Opinion matters when alive,Statue,Loneliness,Every area of magic,Tell person to tell truth or you will,Stars,Right
Slytherin,Opinion matters when alive,Statue,Trusted,Goblins,Tell person to tell truth or you will,Moon,Black
Slytherin,Opinion matters when alive,Talking toadstools,Being Ignored,Ghosts,"Proceed with caution, concealed wand",River,Black
Slytherin,Opinion matters when alive,Talking toadstools,Envied,Trolls,Eye at keyhole of dark,Stars,Black
Slytherin,Opinion matters when alive,Talking toadstools,Records>Book>Cure,Talk to animals,"Up high, no handholds",Moon,White
Slytherin,Opinion matters when alive,Tortoiseshell squeaky box,Being Ignored,Merpeople,"Proceed with caution, concealed wand",Dawn,Tails
Slytherin,Opinion matters when alive,Trumpet,Feared,Superstrength,Wide sunny grassy lane,Moon,Left
Slytherin,Opinion matters when alive,Violin,Being Ignored,Centaurs,Suggest all 3 fight (without informing troll),Dawn,Black
Hufflepuff,Opinion matters when alive,Violin,Liked,Werewolves,"Worried about mental health, call Dr.",Forest,Heads
Slytherin,Ordinary,Black visions goblet,Book>Cure>Records,Read Minds,Withdraw and review spells,River,White
Slytherin,Ordinary,Black visions goblet,Envied,Ghosts,Lie and say you don't know,Stars,Heads
Slytherin,Ordinary,Black visions goblet,Liked,Ghosts,Confuse Troll,Dusk,Left
Slytherin,Ordinary,Black visions goblet,Liked,Read Minds,Tell person to tell truth or you will,Dawn,Tails
Ravenclaw,Ordinary,Fresh Parchment,Cold,Centaurs,Withdraw and review spells,Stars,Tails
Gryffindor,Ordinary,Golden sunspots potion,Cure>Book>Records,Broom Flying,Suggest all 3 fight (without informing troll),Stars,Tails
Slytherin,Ordinary,Golden sunspots potion,Praised,Invisibility,Draw wand and stand ground,Dusk,Left
Slytherin,Ordinary,Log Fire,Being Ignored,Castle secrets,Silly voice,Dusk,Left
Hufflepuff,Ordinary,Log Fire,Liked,Talk to animals,Wide sunny grassy lane,Dusk,Heads
Slytherin,Ordinary,Luminous pool,Book>Records>Cure,Centaurs,"Draw wand, find source",River,Tails
Slytherin,Ordinary,Luminous pool,Cure>Records>Book,Invisibility,"Proceed with caution, concealed wand",Moon,Black
Slytherin,Ordinary,Luminous pool,Hunger,Every area of magic,"Worried about mental health, call Dr.",Dusk,Heads
Slytherin,Ordinary,Luminous pool,Trusted,Every area of magic,Eye at keyhole of dark,Forest,Tails
Slytherin,Ordinary,Merlin's rune box,Book>Records>Cure,Broom Flying,Withdraw and review spells,Stars,Black
Slytherin,Ordinary,Merlin's rune box,Boredom,Change the past,Eye at keyhole of dark,Forest,Right
Slytherin,Ordinary,Merlin's rune box,Cure>Book>Records,Apparition/Disapparition,"Up high, no handholds",Forest,White
Slytherin,Ordinary,Merlin's rune box,Envied,Merpeople,Suggest all 3 fight (without informing troll),Stars,Tails
Slytherin,Ordinary,Merlin's rune box,Envied,Merpeople,Suggest all 3 fight (without informing troll),Stars,Tails
Slytherin,Ordinary,Merlin's rune box,Loneliness,Vampires,"Proceed with caution, concealed wand",Dusk,Right
Slytherin,Ordinary,Merlin's rune box,Loneliness,Vampires,"Proceed with caution, concealed wand",Dusk,Right
Gryffindor,Ordinary,Merlin's rune box,Records>Cure>Book,Ghosts,Agree and walk away (bluffing),Forest,Right
Gryffindor,Ordinary,Merlin's rune box,Trusted,Castle secrets,Ask what makes them think so,Dawn,Right
Slytherin,Ordinary,Ornate temptation box,Cold,Change the past,"Up high, no handholds",Dusk,Right
Hufflepuff,Ordinary,Ornate temptation box,Liked,Superstrength,Agree and walk away (bluffing),Forest,White
Ravenclaw,Ordinary,Ornate temptation box,Praised,Every area of magic,Suggest all 3 fight (without informing troll),Dawn,Left
Ravenclaw,Ordinary,Ornate temptation box,Trusted,Ghosts,Ask what makes them think so,Dawn,Heads
Gryffindor,Ordinary,Pewter box for worthy,Book>Records>Cure,Centaurs,Withdraw and review spells,Dawn,White
Slytherin,Ordinary,Pewter box for worthy,Boredom,Merpeople,Confuse Troll,Dawn,Black
Slytherin,Ordinary,Pewter box for worthy,Cure>Book>Records,Merpeople,"Cobbled street, ancient buildings",River,Heads
Ravenclaw,Ordinary,Piano,Book>Records>Cure,Werewolves,"Tell Flitwick, you'll get points",Dawn,Left
Slytherin,Ordinary,Piano,Boredom,Every area of magic,"Proceed with caution, concealed wand",Dusk,Tails
Ravenclaw,Ordinary,Piano,Cold,Castle secrets,Withdraw and review spells,Dawn,Right
Gryffindor,Ordinary,Piano,Cure>Book>Records,Ghosts,"Worried about mental health, call Dr.",Stars,Tails
Slytherin,Ordinary,Piano,Cure>Book>Records,Hexes and Jinxes,Lantern-lit alley,Stars,Tails
Gryffindor,Ordinary,Piano,Cure>Book>Records,Invisibility,"Proceed with caution, concealed wand",Forest,Tails
Slytherin,Ordinary,Piano,Cure>Records>Book,Castle secrets,"Tell Flitwick, you'll get points",River,Tails
Hufflepuff,Ordinary,Piano,Cure>Records>Book,Talk to animals,Twisting leafy woodsy path,Stars,Heads
Slytherin,Ordinary,Piano,Envied,Hexes and Jinxes,Withdraw and review spells,Stars,Right
Slytherin,Ordinary,Piano,Liked,Every area of magic,Confuse troll,River,Heads
Hufflepuff,Ordinary,Piano,Loneliness,Broom Flying,Suggest all 3 fight (without informing troll),Stars,Right
Gryffindor,Ordinary,Piano,Trusted,Invisibility,Ask what makes them think so,Stars,Tails
Ravenclaw,Ordinary,Plums and chocolate,Being Ignored,Ghosts,No one knows you,Forest,White
Ravenclaw,Ordinary,Plums and chocolate,Being Ignored,Ghosts,No one knows you,,White
Ravenclaw,Ordinary,Plums and chocolate,Book>Cure>Records,Change appearance,Confuse Troll,Stars,Heads
Ravenclaw,Ordinary,Plums and chocolate,Trusted,Centaurs,Withdraw and review spells,Moon,Heads
Slytherin,Ordinary,Sea,Being Ignored,Merpeople,Wide sunny grassy lane,Moon,Tails
Ravenclaw,Ordinary,Sea,Book>Cure>Records,Vampires,"Cobbled street, ancient buildings",Dawn,Right
Slytherin,Ordinary,Sea,Boredom,Change appearance,Lie and say you don't know,Dawn,Black
Slytherin,Ordinary,Sea,Cold,Read Minds,Eye at keyhole of dark,Stars,Left
Slytherin,Ordinary,Sea,Cure>Book>Records,Change the past,Confuse Troll,Dawn,Black
Slytherin,Ordinary,Sea,Liked,Ghosts,Confuse Troll,River,Tails
Slytherin,Ordinary,"Silver tree, golden apples",Boredom,Centaurs,Wide sunny grassy lane,Dusk,Heads
Slytherin,Ordinary,"Silver tree, golden apples",Cold,Apparition/Disapparition,"Up high, no handholds",Dusk,Left
Ravenclaw,Ordinary,"Silver tree, golden apples",Cold,Change appearance,Lie and say you don't know,Forest,White
Gryffindor,Ordinary,"Silver tree, golden apples",Cure>Book>Records,Change appearance,"Proceed with caution, concealed wand",Stars,Tails
Slytherin,Ordinary,"Silver tree, golden apples",Cure>Book>Records,Invisibility,Twisting leafy woodsy path,Moon,Left
Slytherin,Ordinary,"Silver tree, golden apples",Envied,Read Minds,Lantern-lit alley,Moon,Heads
Hufflepuf,Ordinary,"Silver tree, golden apples",Hunger,Invisibility,"Proceed with caution, concealed wand",Moon,White
Hufflepuff,Ordinary,"Silver tree, golden apples",Hunger,Merpeople,Draw lots,Moon,Right
Slytherin,Ordinary,"Silver tree, golden apples",Praised,Apparition/Disapparition,Ask what makes them think so,Stars,Left
Slytherin,Ordinary,Silvery glittery potion,Being Ignored,Every area of magic,Agree and walk away (bluffing),River,Heads
Slytherin,Ordinary,Silvery glittery potion,Cold,Change the past,"Proceed with caution, concealed wand",River,Right
Hufflepuff,Ordinary,Silvery glittery potion,Hunger,Invisibility,"Proceed with caution, concealed wand",Moon,White
Slytherin,Ordinary,Silvery glittery potion,Praised,Merpeople,"Up high, no handholds",Dusk,White
Gryffindor,Ordinary,Silvery glittery potion,Trusted,Centaurs,Twisting leafy woodsy path,Forest,Left
Gryffindor,Ordinary,Silvery glittery potion,Trusted,Centaurs,Twisting leafy woodsy path,Forest,Left
Hufflepuff,Ordinary,Silvery glittery potion,Trusted,Talk to animals,"Tell Flitwick, you'll get points",Stars,Heads
Gryffindor,Ordinary,Statue,Loneliness,Every area of magic,Agree and walk away (bluffing),Stars,Heads
Slytherin,Ordinary,Statue,Loneliness,Talk to animals,Confuse Troll,Moon,Black
Ravenclaw,Ordinary,Statue,Records>Cure>Book,Castle secrets,Withdraw and review spells,Dusk,Black
Slytherin,Ordinary,Talking toadstools,Book>Cure>Records,Change appearance,"Cobbled street, ancient buildings",River,Left
Gryffindor,Ordinary,Talking toadstools,Trusted,Every area of magic,Suggest all 3 fight (without informing troll),Stars,Black
Slytherin,Ordinary,Tortoiseshell squeaky box,Imitated,Change appearance,Tell person to tell truth or you will,Moon,Tails
Slytherin,Ordinary,Tortoiseshell squeaky box,Imitated,Change appearance,Tell person to tell truth or you will,Moon,Tails
Slytherin,Ordinary,Tortoiseshell squeaky box,Trusted,Superstrength,Confuse Troll,River,Left
Hufflepuff,Ordinary,Trumpet,Cold,Transfiguration,Draw lots,River,Right
Slytherin,Ordinary,Trumpet,Praised,Vampires,"Tell Flitwick, you'll get points",Stars,Black
Ravenclaw,Ordinary,Trumpet,Trusted,Every area of magic,Withdraw and review spells,Stars,Tails
Slytherin,Ordinary,Violin,Boredom,Every area of magic,Suggest all 3 fight (without informing troll),Dusk,Tails
Slytherin,Ordinary,Violin,Cure>Book>Records,Change appearance,Eye at keyhole of dark,Dusk,Left
Slytherin,Ordinary,Violin,Cure>Book>Records,Change appearance,Eye at keyhole of dark,Dusk,Left
Slytherin,Ordinary,Violin,Cure>Book>Records,Change appearance,Confuse Troll,Dusk,White
Slytherin,Ordinary,Violin,Liked,Werewolves,"Up high, no handholds",Moon,Left
Slytherin,Ordinary,Violin,Praised,Merpeople,Agree and walk away (bluffing),Moon,Left
Slytherin,Ordinary,Violin,Trusted,Change appearance,Twisting leafy woodsy path,Dusk,Left
Slytherin,Ordinary,,Envied,Change the past,Suggest all 3 fight (without informing troll),Stars,Tails
Slytherin,Power,Black visions goblet,Being Ignored,Change the past,Lie and say you don't know,Dusk,Right
Slytherin,Power,Black visions goblet,Cold,Change the past,"Worried about mental health, call Dr.",Tails,Dawn
Gryffindor,Power,Drums,Cure>Book>Records,Goblins,"Up high, no handholds",Forest,Black
Slytherin,Power,Fresh Parchment,Boredom,Transfiguration,"Worried about mental health, call Dr.",Stars,Tails
Slytherin,Power,Fresh Parchment,Feared,Castle secrets,"Up high, no handholds",Moon,Right
Ravenclaw,Power,Fresh Parchment,Feared,Goblins,Twisting leafy woodsy path,Moon,White
Slytherin,Power,Golden sunspots potion,Liked,Goblins,Twisting leafy woodsy path,Moon,Tails
Slytherin,Power,Home,Boredom,Centaurs,"Proceed with caution, concealed wand",Dusk,Right
Slytherin,Power,Log Fire,Boredom,Vampires,"Up high, no handholds",River,Heads
Slytherin,Power,Log Fire,Feared,Invisibility,"Up high, no handholds",Moon,Right
Slytherin,Power,Log Fire,Imitated,Goblins,Offer them a sample of a jinx,Dusk,Left
Slytherin,Power,Log Fire,Liked,Centaurs,Lantern-lit alley,Dusk,White
Slytherin,Power,Luminous pool,Being Ignored,Merpeople,Lantern-lit alley,River,Black
Ravenclaw,Power,Luminous pool,Book>Cure>Records,Trolls,"Nightmare: high up, no handholds",Forest,White
Slytherin,Power,Luminous pool,Boredom,Apparition/Disapparition,Confuse Troll,Stars,Tails
Slytherin,Power,Luminous pool,Envied,Hexes and Jinxes,Nightmare: silly voice,Dawn,Black
Slytherin,Power,Luminous pool,Envied,Hexes and Jinxes,Silly voice,Dawn,Black
Slytherin,Power,Ornate temptation box,Book>Records>Cure,Change appearance,Silly voice,River,Heads
Slytherin,Power,Pewter box for worthy,Liked,Merpeople,Confuse Troll,Stars,Tails
Slytherin,Power,Pewter box for worthy,Records>Cure>Book,Merpeople,Twisting leafy woodsy path,Moon,Tails
Slytherin,Power,Piano,Being Ignored,Every area of magic,"Tell Flitwick, you'll get points",Moon,Black
Slytherin,Power,Piano,Hunger,Werewolves,Eye at keyhole of dark,Dusk,Tails
Slytherin,Power,Plums and chocolate,Being Ignored,Apparition/Disapparition,Tell person to tell truth or you will,Forest,Heads
Slytherin,Power,Sea,Feared,Hexes and Jinxes,Confuse troll,Forest,Left
Slytherin,Power,Sea,Hunger,Werewolves,Withdraw and review spells,Forest,Black
Slytherin,Power,Sea,Loneliness,Apparition/Disapparition,Offer them a sample of a jinx,River,Right
Ravenclaw,Power,"Silver tree, golden apples",Book>Cure>Records,Change appearance,Wide sunny grassy lane,Dawn,Right
Gryffindor,Power,"Silver tree, golden apples",Cure>Book>Records,Invisibility,Ask what makes them think so,Stars,Left
Slytherin,Power,"Silver tree, golden apples",Envied,Change appearance,"Up high, no handholds",Moon,Tails
Slytherin,Power,Silvery glittery potion,Records>Cure>Book,Hexes and Jinxes,"Draw wand, find source",Dawn,Black
Ravenclaw,Power,Statue,Being Ignored,Change appearance,Withdraw and review spells,Moon,Right
Ravenclaw,Power,Statue,Imitated,Ghosts,Lantern-lit alley,Dawn,Heads
Hufflepuff,Power,Talking toadstools,Cold,Transfiguration,No one knows you,Dusk,Heads
Slytherin,Power,Talking toadstools,Cold,Transfiguration,Lantern-lit alley,Dawn,Left
Slytherin,Power,Violin,Being Ignored,Change appearance,Confuse troll,River,Left
Gryffindor,Power,Violin,Book>Records>Cure,Ghosts,Agree and walk away (bluffing),Stars,Right
Ravenclaw,Selfish,Fresh Parchment,Book>Records>Cure,Goblins,"Draw wand, find source",Stars,Heads
Ravenclaw,Selfish,Fresh Parchment,Imitated,Ghosts,Withdraw and review spells,Dusk,Heads
Ravenclaw,Selfish,Golden sunspots potion,Being Ignored,Change appearance,Withdraw and review spells,Forest,Black
Hufflepuff,Selfish,Golden sunspots potion,Boredom,Every area of magic,Draw wand and stand ground,Stars,Heads
Hufflepuff,Selfish,Golden sunspots potion,Cure>Book>Records,Transfiguration,Draw lots,Stars,Heads
Gryffindor,Selfish,Golden sunspots potion,Loneliness,Apparition/Disapparition,Suggest all 3 fight (without informing troll),Forest,White
Ravenclaw,Selfish,Log Fire,Hunger,Read Minds,Ask what makes them think so,Forest,Left
Gryffindor,Selfish,Log Fire,Loneliness,Every area of magic,Tell person to tell truth or you will,Dusk,Tails
Gryffindor,Selfish,Log Fire,Loneliness,Ghosts,Confuse Troll,River,Black
Gryffindor,Selfish,Log Fire,Loneliness,Ghosts,Confuse Troll,River,Black
Ravenclaw,Selfish,Luminous pool,Being Ignored,Talk to animals,Twisting leafy woodsy path,Dawn,Left
Ravenclaw,Selfish,Luminous pool,Book>Cure>Records,Change the past,Eye at keyhole of dark,Dawn,Heads
Ravenclaw,Selfish,Merlin's rune box,Praised,Change appearance,Withdraw and review spells,River,Left
Slytherin,Selfish,Merlin's rune box,Trusted,Change the past,Lantern-lit alley,Moon,White
Ravenclaw,Selfish,Ornate temptation box,Boredom,Every area of magic,Lantern-lit alley,Forest,White
Ravenclaw,Selfish,Ornate temptation box,Feared,Talk to animals,"Up high, no handholds",Stars,Tails
Ravenclaw,Selfish,Pewter box for worthy,Cure>Book>Records,Ghosts,Confuse Troll,Dusk,White
Gryffindor,Selfish,Pewter box for worthy,Cure>Book>Records,Read Minds,Suggest all 3 fight (without informing troll),Stars,Right
Hufflepuff,Selfish,Pewter box for worthy,Trusted,Every area of magic,"Draw wand, find source",Stars,White
Hufflepuff,Selfish,Pewter box for worthy,Trusted,Talk to animals,Ask what makes them think so,River,Left
Ravenclaw,Selfish,Piano,Being Ignored,Centaurs,Tell person to tell truth or you will,Dawn,Right
Ravenclaw,Selfish,Piano,Being Ignored,Centaurs,Tell person to tell truth or you will,Dawn,Right
Hufflepuff,Selfish,Piano,Cure>Book>Records,Every area of magic,Tell person to tell truth or you will,River,Right
Hufflepuff,Selfish,Piano,Liked,Trolls,Wide sunny grassy lane,Forest,Left
Hufflepuff,Selfish,Piano,Trusted,Magical Creatures,Wide sunny grassy lane,Stars,White
Hufflepuff,Selfish,Plums and chocolate,Envied,Magical Creatures,"Draw wand, find source",Forest,Right
Hufflepuff,Selfish,Sea,Loneliness,Magical Creatures,Wide sunny grassy lane,Forest,Right
Hufflepuff,Selfish,"Silver tree, golden apples",Cure>Book>Records,Talk to animals,Wide sunny grassy lane,Dusk,White
Ravenclaw,Selfish,"Silver tree, golden apples",Feared,Transfiguration,"Cobbled street, ancient buildings",Moon,Right
Ravenclaw,Selfish,Silvery glittery potion,Cure>Book>Records,Every area of magic,"Up high, no handholds",Moon,Tails
Slytherin,Selfish,Silvery glittery potion,Cure>Records>Book,Goblins,Tell Flitwick before the test,Moon,White
Slytherin,Selfish,Silvery glittery potion,Cure>Records>Book,Goblins,Tell Flitwick before the test,Moon,White
Gryffindor,Selfish,Statue,Cure>Records>Book,Transfiguration,Lantern-lit alley,Stars,Black
Hufflepuff,Selfish,Statue,Envied,Superstrength,Draw lots,Dawn,Heads
Hufflepuff,Selfish,Tortoiseshell squeaky box,Trusted,Read minds,No one knows you,Stars,Right
Hufflepuff,Selfish,Trumpet,Hunger,Superstrength,Volunteer to fight,Moon,Tails
Hufflepuff,Selfish,Trumpet,Imitated,Castle secrets,Nightmare: silly voice,River,Heads
Hufflepuff,Selfish,Trumpet,Imitated,Transfiguration,Twisting leafy woodsy path,Stars,Tails
Hufflepuff,Selfish,Trumpet,Loneliness,Goblins,"Cobbled street, ancient buildings",Dawn,Tails
Slytherin,Selfish,Violin,Boredom,Goblins,Ask what makes them think so,River,Heads
Gryffindor,The Bold,Black visions goblet,Boredom,Centaurs,"Tell Flitwick, you'll get points",Forest,Black
Slytherin,The Bold,Black visions goblet,Records>Book>Cure,Talk to animals,Volunteer to fight,River,Heads
Gryffindor,The Bold,Drums,Being Ignored,Invisibility,Eye at keyhole of dark,Dawn,Left
Gryffindor,The Bold,Drums,Cure>Book>Records,Merpeople,Agree and walk away (bluffing),Dawn,Heads
Gryffindor,The Bold,Drums,Cure>Book>Records,Superstrength,"Cobbled street, ancient buildings",Dawn,Heads
Slytherin,The Bold,Drums,Records>Cure>Book,Superstrength,Draw wand and stand ground,Stars,Black
Slytherin,The Bold,Drums,Records>Cure>Book,Superstrength,Draw wand and stand ground,Stars,Black
Gryffindor,The Bold,Fresh Parchment,Loneliness,Invisibility,"Worried about mental health, call Dr.",Stars,Tails
Gryffindor,The Bold,Golden sunspots potion,Boredom,Change the past,"Proceed with caution, concealed wand",Stars,Right
Gryffindor,The Bold,Golden sunspots potion,Cure>Book>Records,Change the past,Tell person to tell truth or you will,Forest,Tails
Gryffindor,The Bold,Golden sunspots potion,Cure>Book>Records,Every area of magic,Suggest all 3 fight (without informing troll),Dusk,Right
Gryffindor,The Bold,Golden sunspots potion,Feared,Castle secrets,Volunteer to fight the troll,Forest,Right
Hufflepuff,The Bold,Golden sunspots potion,Loneliness,Broom Flying,"Proceed with caution, concealed wand",River,Right
Gryffindor,The Bold,Log Fire,Cure>Records>Book,Apparition/Disapparition,Eye at keyhole of dark,River,Left
Gryffindor,The Bold,Log Fire,Imitated,Broom Flying,Tell person to tell truth or you will,Moon,Right
Gryffindor,The Bold,Log Fire,Trusted,Invisibility,Twisting leafy woodsy path,Forest,White
Gryffindor,The Bold,Luminous pool,Imitated,Superstrength,Tell person to tell truth or you will,Forest,Tails
Hufflepuff,The Bold,Luminous pool,Trusted,Superstrength,"Proceed with caution, concealed wand",Dusk,Heads
Slytherin,The Bold,Merlin's rune box,Book>Cure>Records,Talk to animals,Agree and walk away (bluffing),River,Black
Gryffindor,The Bold,Merlin's rune box,Liked,Change appearance,Tell person to tell truth or you will,Stars,White
Gryffindor,The Bold,Ornate temptation box,Cure>Book>Records,Magical Creatures,Volunteer to Fight,Dawn,Heads
Gryffindor,The Bold,Ornate temptation box,Trusted,Centaurs,Lantern-lit alley,Forest,Black
Gryffindor,The Bold,Pewter box for worthy,Being Ignored,Every area of magic,No one knows you,Forest,Left
Gryffindor,The Bold,Pewter box for worthy,Cold,Change the past,Ask what makes them think so,Forest,White
Gryffindor,The Bold,Pewter box for worthy,Cure>Book>Records,Every area of magic,Tell person to tell truth or you will,Dawn,Right
Gryffindor,The Bold,Pewter box for worthy,Loneliness,Centaurs,Ask what makes them think so,Moon,Left
Gryffindor,The Bold,Pewter box for worthy,Trusted,Change the past,Agree and walk away (bluffing),Dusk,Left
Slytherin,The Bold,Piano,Boredom,Every area of magic,Lantern-lit alley,Dusk,Left
Slytherin,The Bold,Piano,Boredom,Every area of magic,Lantern-lit alley,Dusk,Left
Gryffindor,The Bold,Piano,Trusted,Ghosts,Tell person to tell truth or you will,Forest,White
Hufflepuff,The Bold,Plums and chocolate,Records>Cure>Book,Broom Flying,"Up high, no handholds",River,White
Gryffindor,The Bold,Sea,Cure>Book>Records,Ghosts,Volunteer to fight the troll,Dawn,White
Gryffindor,The Bold,Sea,Cure>Book>Records,Superstrength,Agree and walk away (bluffing),River,Black
Slytherin,The Bold,Sea,Envied,Broom Flying,Suggest all 3 fight (without informing troll),Dusk,Left
Slytherin,The Bold,Sea,Praised,Superstrength,Agree and walk away (bluffing),Moon,Black
Ravenclaw,The Bold,"Silver tree, golden apples",Book>Cure>Records,Magical Creatures,Withdraw and review spells,Dawn,Black
Slytherin,The Bold,"Silver tree, golden apples",Imitated,Change the past,Eye at keyhole of dark,Dusk,Tails
Slytherin,The Bold,Silvery glittery potion,Boredom,Merpeople,"Draw wand, find source",River,Right
Gryffindor,The Bold,Statue,Envied,Change the past,Volunteer to fight the troll,River,Right
Slytherin,The Bold,Statue,Envied,Hexes and Jinxes,Wide sunny grassy lane,Forest,Heads
Slytherin,The Bold,Statue,Imitated,Superstrength,Offer them a sample of a jinx,Dusk,Heads
Slytherin,The Bold,Statue,Trusted,Read Minds,Draw wand and stand ground,Moon,Black
Hufflepuff,The Bold,Talking toadstools,Loneliness,Invisibility,Lie and say you don't know,River,Tails
Ravenclaw,The Good,Black visions goblet,Book>Cure>Records,Every area of magic,Tell person to tell truth or you will,Moon,White
Gryffindor,The Good,Black visions goblet,Cure>Book>Records,Ghosts,Withdraw and review spells,Forest,Tails
Gryffindor,The Good,Black visions goblet,Trusted,Ghosts,Withdraw and review spells,Forest,Tails
Ravenclaw,The Good,Drums,Being Ignored,Talk to animals,Ask what makes them think so,Dawn,Left
Ravenclaw,The Good,Drums,Being Ignored,Talk to animals,Ask what makes them think so,Dawn,Left
Gryffindor,The Good,Drums,Boredom,Merpeople,Twisting leafy woodsy path,Stars,Tails
Hufflepuff,The Good,Drums,Cure>Records>Book,Werewolves,"Proceed with caution, concealed wand",River,White
Hufflepuff,The Good,Drums,Trusted,Ghosts,"Worried about mental health, call Dr.",Dawn,Heads
Hufflepuff,The Good,Drums,Trusted,Ghosts,"Worried about mental health, call Dr.",Dawn,Heads
Hufflepuff,The Good,Fresh Parchment,Being Ignored,Vampires,Draw lots,Moon,Heads
Gryffindor,The Good,Golden sunspots potion,Book>Cure>Records,Change the past,Suggest all 3 fight (without informing troll),Forest,Right
Slytherin,The Good,Golden sunspots potion,Praised,Change the past,Tell person to tell truth or you will,Dusk,Heads
Gryffindor,The Good,Golden sunspots potion,Trusted,Centaurs,Confuse Troll,Forest,Right
Slytherin,The Good,Log Fire,Book>Records>Cure,Change appearance,Eye at keyhole of dark,Moon,Black
Hufflepuff,The Good,Log Fire,Cure>Book>Records,Merpeople,Ask what makes them think so,River,White
Slytherin,The Good,Log Fire,Feared,Superstrength,Lie and say you don't know,Dawn,Black
Hufflepuff,The Good,Luminous pool,Book>Cure>Records,Magical Creatures,Lie and say you don't know,Dusk,White
Ravenclaw,The Good,Luminous pool,Liked,Every area of magic,Twisting leafy woodsy path,Forest,White
Hufflepuff,The Good,Merlin's rune box,Cure>Records>Book,Change appearance,"Draw wand, find source",Stars,White
Slytherin,The Good,Merlin's rune box,Feared,Apparition/Disapparition,Tell Flitwick before the test,Dawn,Heads
Slytherin,The Good,Merlin's rune box,Trusted,Merpeople,Eye at keyhole of dark,Dusk,Left
Slytherin,The Good,Ornate temptation box,Book>Records>Cure,Trolls,Draw Lots,River,Black
Hufflepuff,The Good,Ornate temptation box,Cure>Book>Records,Vampires,Twisting leafy woodsy path,Dusk,Right
Hufflepuff,The Good,Ornate temptation box,Trusted,Trolls,"Tell Flitwick, you'll get points",Stars,Black
Ravenclaw,The Good,Pewter box for worthy,Being Ignored,Centaurs,"Up high, no handholds",Moon,Right
Gryffindor,The Good,Pewter box for worthy,Being Ignored,Change the past,"Draw wand, find source",Forest,White
Hufflepuff,The Good,Pewter box for worthy,Book>Cure>Records,Castle secrets,"Proceed with caution, concealed wand",Stars,Left
Slytherin,The Good,Pewter box for worthy,Book>Cure>Records,Change the past,Agree and walk away (bluffing),Moon,White
Slytherin,The Good,Pewter box for worthy,Book>Cure>Records,Change the past,Agree and walk away (bluffing),Moon,White
Gryffindor,The Good,Pewter box for worthy,Cure>Book>Records,Merpeople,Tell person to tell truth or you will,Stars,Left
Hufflepuff,The Good,Pewter box for worthy,Cure>Book>Records,Vampires,Twisting leafy woodsy path,Dusk,Left
